itemNumber,modelNumber,shortDescription,mainHeading,mainDescription,bullets,specifications,specVersions,brandName,packagedWeight,dateModified,category_id,categoryPathIDs,categoryPathTitle,categoryPathUrl,stockLevelHint,sspGBP,featured_image,product_image_gallery
953.606UK,RC6U600,Rack Cabinet 6U x 600mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]600mm[br]Mounting depth[tab]500mm[br]Height[tab]367mm[br]Rack height[tab]267mm (6U),Adastra,20.6,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,189,https://www.avsl.com/assets/images/9/5/953606UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953606UK_LD1.jpg
953.609UK,RC9U600,Rack Cabinet 9U x 600mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]600mm[br]Mounting depth[tab]500mm[br]Height[tab]500mm[br]Rack height[tab]400mm (9U),Adastra,24.1,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,239,https://www.avsl.com/assets/images/9/5/953609UK_CO1.JPG,https://www.avsl.com/assets/images/9/5/953609UK_CO2.JPG
953.612UK,RC12U600,Rack Cabinet 12U x 600mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]600mm[br]Mounting depth[tab]500mm[br]Height[tab]634mm[br]Rack height[tab]534mm (12U),Adastra,28.1,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,269,https://www.avsl.com/assets/images/9/5/953612UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953612UK_LD1.jpg
953.615UK,RC15U600,Rack Cabinet 15U x 600mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]600mm[br]Mounting depth[tab]500mm[br]Height[tab]767mm[br]Rack height[tab]667mm (15U),Adastra,31.7,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,259,https://www.avsl.com/assets/images/9/5/953615UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953615UK_LD1.jpg
953.618UK,RC18U600,Rack Cabinet 18U x 600mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]600mm[br]Mounting depth[tab]500mm[br]Height[tab]897mm[br]Rack height[tab]800mm (18U),Adastra,35.8,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,269,https://www.avsl.com/assets/images/9/5/953618UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953618UK_LD1.jpg
953.622UK,RC22U600,Rack Cabinet 22U x 600mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]600mm[br]Mounting depth[tab]500mm[br]Height[tab]1081mm[br]Rack height[tab]978mm (22U),Adastra,40.6,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,399,https://www.avsl.com/assets/images/9/5/953622UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953622UK_LD1.jpg
953.628UK,RC28U600,Rack Cabinet 28U x 600mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]600mm[br]Mounting depth[tab]500mm[br]Height[tab]1345mm[br]Rack height[tab]1245mm (28U),Adastra,50,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,379,https://www.avsl.com/assets/images/9/5/953628UK_CO5.jpg,https://www.avsl.com/assets/images/9/5/953628UK_LD1.jpg
993.040UK,NP2C/B,"NEUTRIK® NP2XB, 6.3mm mono plug - black",Neutrik® NP2XN,6.3mm professional all metal mono jack plug. Black.,,,,Neutrik,0.03,18/05/2017 6:36,935,"1,908,935",Connectors -> 6.3mm (1/4 Inch jack),connectors/6-3mm-1-4-inch-jack-,10+,5.99,https://www.avsl.com/assets/images/9/9/993040UK_LD1.jpg,
993.095UK,NYS373-2,"NEUTRIK® NYS373-2, RCA phono plug - red ID band",Neutrik® NYS373-2/-9 Professional Phono Plugs,Professional RCA phono plugs. Available with red or white ID band.,,,,Neutrik,0.02,14/07/2022 10:44,931,"1,908,931",Connectors -> RCA (Phono),connectors/rca-phono-,100+,2.99,https://www.avsl.com/assets/images/9/9/993095UK_LD1.jpg,
993.098UK,NYS373-9,"NEUTRIK® NYS373-9, RCA phono plug - White ID band",Neutrik® NYS373-2/-9 Professional Phono Plugs,Professional RCA phono plugs. Available with red or white ID band.,,,,Neutrik,0.02,14/07/2022 10:44,931,"1,908,931",Connectors -> RCA (Phono),connectors/rca-phono-,100+,2.99,https://www.avsl.com/assets/images/9/9/993098UK_LD1.jpg,
